sec,rms,F1,F2,F3,F4,f0,c
0.01,-30.4481201171875,644.13,2051.618,2792.787,4545.947,342.857,0.487
0.02,-30.275650024414062,660.905,2110.546,2857.737,4576.138,342.857,0.495
0.03,-16.92344093322754,943.624,2042.001,2686.803,4367.614,266.667,0.598
0.04,-13.448768615722656,1046.684,1586.254,2855.033,4160.337,134.831,0.578
0.05,-11.313724517822266,1055.696,1544.474,2994.263,4112.281,80.537,0.524
0.06,-8.954042434692383,1088.664,1598.14,3112.567,4014.33,240.0,0.712
0.07,-8.345113754272461,1066.827,1590.894,3078.503,3985.18,250.0,0.831
0.08,-9.907621383666992,792.131,1630.634,2954.336,4091.826,255.319,0.779
0.09,-10.880889892578125,976.023,1756.963,2914.463,3988.701,260.87,0.804
0.1,-10.431282043457031,1062.93,1810.649,2998.402,3980.376,266.667,0.764
0.11,-11.442960739135742,1036.243,1852.095,3082.14,4087.302,272.727,0.791
0.12,-12.85513973236084,1007.37,1877.841,2875.338,4059.948,279.07,0.849
0.13,-13.448968887329102,882.19,1890.324,2790.993,4082.551,279.07,0.782
0.14,-13.253053665161133,697.186,1881.846,2712.253,4091.541,285.714,0.699
0.15,-13.055042266845703,705.381,1820.039,2675.885,4033.893,292.683,0.722
0.16,-13.110523223876953,670.512,1710.591,2645.029,4116.882,285.714,0.775
0.17,-12.675636291503906,548.569,1731.261,2650.565,4110.863,279.07,0.75
0.18,-13.129042625427246,517.981,1771.139,2659.183,4139.474,279.07,0.774
0.19,-14.999834060668945,292.073,1739.219,2616.41,4151.946,96.774,0.474
0.2,-17.87383270263672,294.487,1804.508,2664.399,4095.121,222.222,0.533
0.21,-21.407207489013672,533.782,1731.147,2747.532,4126.089,272.727,0.702
0.22,-21.897480010986328,542.448,1673.337,2930.006,4181.841,279.07,0.7
0.23,-23.251867294311523,553.506,1851.166,2862.199,4172.883,292.683,0.554
0.24,-27.649641036987305,953.243,1940.002,2841.05,4120.271,285.714,0.794
0.25,-30.43341636657715,974.096,1851.993,2744.819,4072.003,285.714,0.686
0.26,-30.86437225341797,836.34,1816.306,2742.881,4240.015,272.727,0.386
0.27,-26.75589370727539,599.715,2118.853,3574.002,4732.978,218.182,0.479
0.28,-26.497323989868164,915.956,2005.942,3830.119,4725.68,279.07,0.437
0.29,-30.248291015625,846.371,1926.694,3538.593,4585.298,136.364,0.366
0.3,-30.35435676574707,1015.191,1848.301,3366.336,4488.235,114.286,0.438
0.31,-30.106914520263672,1154.57,2143.267,3315.172,4560.272,279.07,0.56
0.32,-31.75880241394043,1089.516,2201.505,3289.936,4535.995,240.0,0.496
0.33,-34.976226806640625,910.948,1959.428,3373.157,4451.077,255.319,0.504
0.34,-36.2531623840332,878.867,2017.562,3213.949,4456.734,260.87,0.568
0.35,-31.9931583404541,629.325,1988.83,3173.236,4485.068,266.667,0.489
0.36,-14.342714309692383,809.213,2008.831,3111.476,4527.658,272.727,0.58
0.37,-8.124282836914062,511.431,987.612,2815.496,4465.045,244.898,0.686
0.38,-7.435232162475586,509.536,1078.577,2765.909,4392.604,244.898,0.82
0.39,-8.904582977294922,614.029,1218.673,2754.802,4267.401,244.898,0.763
0.4,-8.629226684570312,733.029,1300.093,2768.423,4292.717,250.0,0.708
0.41,-8.34492301940918,789.365,1405.579,2816.766,4305.085,260.87,0.678
0.42,-7.935271263122559,784.673,1439.88,2810.319,4310.812,266.667,0.79
